ID,角色,角色名多语言表ID,等级,品阶,攻击力,PVP攻击力,buff,血量,攻击速度,移动速度,子弹速度,攻击范围,宠物ID,升级预览,升级消耗,掉落,战力,锁定范围,免伤比例,,,,,,,
1001032,1001,45,32,B,529,174,,370,0,8,0,0,0,"1-3,2-2.29",1-496,0,529,15,0,496,2.5,,,,,370
1001033,1001,45,33,B,556,178,,380,0,8,0,0,0,"1-3,2-2.30",1-522,0,556,15,0,522,2.5,,,,,380
1001034,1001,45,34,B,584,182,,390,0,8,0,0,0,"1-3,2-2.31",1-549,0,584,15,0,549,2.5,,,,,390
1001035,1001,45,35,B,612,186,,400,0,8,0,0,0,"1-3,2-2.32",1-574,0,612,15,0,574,2.5,,,,,400
1001036,1001,45,36,B,641,190,,410,0,8,0,0,0,"1-3,2-2.33",1-634,0,641,15,0,634,2.5,,,,,410
1001037,1001,45,37,B,670,194,,420,0,8,0,0,0,"1-3,2-2.34",1-663,0,670,15,0,663,2.5,,,,,420
1001038,1001,45,38,B,700,198,,430,0,8,0,0,0,"1-3,2-2.35",1-693,0,700,15,0,693,2.5,,,,,430
1001039,1001,45,39,B,730,202,,440,0,8,0,0,0,"1-3,2-2.36",1-722,0,730,15,0,722,2.5,,,,,440
1001040,1001,45,40,B,761,206,,450,0,8,0,0,0,"1-3,2-2.37",1-753,0,761,15,0,753,2.5,,,,,450
1001041,1001,45,41,B,792,210,,460,0,8,0,0,0,"1-3,2-2.38",1-823,0,792,15,0,823,2.5,,,,,460
1001042,1001,45,42,B,824,214,,470,0,8,0,0,0,"1-3,2-2.39",1-855,0,824,15,0,855,2.5,,,,,470
1001043,1001,45,43,B,856,218,,480,0,8,0,0,0,"1-3,2-2.40",1-889,0,856,15,0,889,2.5,,,,,480
1001044,1001,45,44,B,889,222,,490,0,8,0,0,0,"1-3,2-2.41",1-924,0,889,15,0,924,2.5,,,,,490
1001045,1001,45,45,B,922,226,,500,0,8,0,0,0,"1-3,2-2.42",1-957,0,922,15,0,957,2.5,,,,,500
1001046,1001,45,46,B,956,230,,510,0,8,0,0,0,"1-3,2-2.43",1-1040,0,956,15,0,1040,2.5,,,,,510
1001047,1001,45,47,B,990,234,,520,0,8,0,0,0,"1-3,2-2.44",1-1078,0,990,15,0,1078,2.5,,,,,520
1001048,1001,45,48,B,1025,238,,530,0,8,0,0,0,"1-3,2-2.45",1-1115,0,1025,15,0,1115,2.5,,,,,530
1001049,1001,45,49,B,1060,242,,540,0,8,0,0,0,"1-3,2-2.46",1-1153,0,1060,15,0,1153,2.5,,,,,540
1001050,1001,45,50,B,1096,246,,550,0,8,0,0,0,"1-3,2-2.47",1-1193,0,1096,15,0,1193,2.5,,,,,550
1001051,1001,45,51,B,1150,250,,560,0,8,0,0,0,"1-3,2-2.48",1-1308,0,1150,15,0,1308,2.5,,,,,560
1001052,1001,45,52,B,1204,254,,570,0,8,0,0,0,"1-3,2-2.49",1-1369,0,1204,15,0,1369,2.5,,,,,570
1001053,1001,45,53,B,1259,258,,580,0,8,0,0,0,"1-3,2-2.50",1-1432,0,1259,15,0,1432,2.5,,,,,580
1001054,1001,45,54,B,1314,262,,590,0,8,0,0,0,"1-3,2-2.51",1-1495,0,1314,15,0,1495,2.5,,,,,590
1001055,1001,45,55,B,1370,266,,600,0,8,0,0,0,"1-3,2-2.52",1-1559,0,1370,15,0,1559,2.5,,,,,600
1001056,1001,45,56,B,1426,270,,610,0,8,0,0,0,"1-3,2-2.53",1-1693,0,1426,15,0,1693,2.5,,,,,610
1001057,1001,45,57,B,1483,274,,620,0,8,0,0,0,"1-3,2-2.54",1-1761,0,1483,15,0,1761,2.5,,,,,620
1001058,1001,45,58,B,1540,278,,630,0,8,0,0,0,"1-3,2-2.55",1-1828,0,1540,15,0,1828,2.5,,,,,630
1001059,1001,45,59,B,1598,282,,640,0,8,0,0,0,"1-3,2-2.56",1-1898,0,1598,15,0,1898,2.5,,,,,640
1001060,1001,45,60,B,1656,286,,650,0,8,0,0,0,"1-3,2-2.57",1-1966,0,1656,15,0,1966,2.5,,,,,650
1001061,1001,45,61,B,1715,290,,660,0,8,0,0,0,"1-3,2-2.58",1-1866,0,1715,15,0,1866,2.5,,,,,660
1001062,1001,45,62,B,1774,294,,670,0,8,0,0,0,"1-3,2-2.59",1-1931,0,1774,15,0,1931,2.5,,,,,670
1001063,1001,45,63,B,1834,298,,680,0,8,0,0,0,"1-3,2-2.60",1-1996,0,1834,15,0,1996,2.5,,,,,680
1001064,1001,45,64,B,1894,302,,690,0,8,0,0,0,"1-3,2-2.61",1-2062,0,1894,15,0,2062,2.5,,,,,690
1001065,1001,45,65,B,1955,306,,700,0,8,0,0,0,"1-3,2-2.62",1-2128,0,1955,15,0,2128,2.5,,,,,700
1001066,1001,45,66,B,2016,310,,710,0,8,0,0,0,"1-3,2-2.63",1-2194,0,2016,15,0,2194,2.5,,,,,710
1001067,1001,45,67,B,2078,314,,720,0,8,0,0,0,"1-3,2-2.64",1-2262,0,2078,15,0,2262,2.5,,,,,720
1001068,1001,45,68,B,2140,318,,730,0,8,0,0,0,"1-3,2-2.65",1-2329,0,2140,15,0,2329,2.5,,,,,730
1001069,1001,45,69,B,2203,322,,740,0,8,0,0,0,"1-3,2-2.66",1-2398,0,2203,15,0,2398,2.5,,,,,740
1001070,1001,45,70,B,2266,326,,750,0,8,0,0,0,"1-3,2-2.67",1-2467,0,2266,15,0,2467,2.5,,,,,750
1001071,1001,45,71,B,2330,330,,760,0,8,0,0,0,"1-3,2-2.68",1-2536,0,2330,15,0,2536,2.5,,,,,760
1001072,1001,45,72,B,2394,334,,770,0,8,0,0,0,"1-3,2-2.69",1-2607,0,2394,15,0,2607,2.5,,,,,770
1001073,1001,45,73,B,2459,338,,780,0,8,0,0,0,"1-3,2-2.70",1-2677,0,2459,15,0,2677,2.5,,,,,780
1001074,1001,45,74,B,2524,342,,790,0,8,0,0,0,"1-3,2-2.71",1-2747,0,2524,15,0,2747,2.5,,,,,790
1001075,1001,45,75,B,2590,346,,800,0,8,0,0,0,"1-3,2-2.72",1-2820,0,2590,15,0,2820,2.5,,,,,800
1001076,1001,45,76,B,2689,350,,810,0,8,0,0,0,"1-3,2-2.73",1-2928,0,2689,15,0,2928,2.5,,,,,810
1001077,1001,45,77,B,2788,354,,820,0,8,0,0,0,"1-3,2-2.74",1-3036,0,2788,15,0,3036,2.5,,,,,820
1001078,1001,45,78,B,2888,358,,830,0,8,0,0,0,"1-3,2-2.75",1-3144,0,2888,15,0,3144,2.5,,,,,830
1001079,1001,45,79,B,2988,362,,840,0,8,0,0,0,"1-3,2-2.76",1-3253,0,2988,15,0,3253,2.5,,,,,840
1001080,1001,45,80,B,3089,366,,850,0,8,0,0,0,"1-3,2-2.77",1-3363,0,3089,15,0,3363,2.5,,,,,850
1001081,1001,45,81,B,3190,370,,860,0,8,0,0,0,"1-3,2-2.78",1-3473,0,3190,15,0,3473,2.5,,,,,860
1001082,1001,45,82,B,3292,374,,870,0,8,0,0,0,"1-3,2-2.79",1-3584,0,3292,15,0,3584,2.5,,,,,870
1001083,1001,45,83,B,3394,378,,880,0,8,0,0,0,"1-3,2-2.80",1-3696,0,3394,15,0,3696,2.5,,,,,880
1001084,1001,45,84,B,3497,382,,890,0,8,0,0,0,"1-3,2-2.81",1-3808,0,3497,15,0,3808,2.5,,,,,890
1001085,1001,45,85,B,3600,386,,900,0,8,0,0,0,"1-3,2-2.82",1-3920,0,3600,15,0,3920,2.5,,,,,900
1001086,1001,45,86,B,3704,390,,910,0,8,0,0,0,"1-3,2-2.83",1-4032,0,3704,15,0,4032,2.5,,,,,910
1001087,1001,45,87,B,3808,394,,920,0,8,0,0,0,"1-3,2-2.84",1-4145,0,3808,15,0,4145,2.5,,,,,920
1001088,1001,45,88,B,3913,398,,930,0,8,0,0,0,"1-3,2-2.85",1-4260,0,3913,15,0,4260,2.5,,,,,930
1001089,1001,45,89,B,4018,402,,940,0,8,0,0,0,"1-3,2-2.86",1-4374,0,4018,15,0,4374,2.5,,,,,940
1001090,1001,45,90,B,4124,406,,950,0,8,0,0,0,"1-3,2-2.87",1-4490,0,4124,15,0,4490,2.5,,,,,950
1001091,1001,45,91,B,4230,410,,960,0,8,0,0,0,"1-3,2-2.88",1-4605,0,4230,15,0,4605,2.5,,,,,960
1001092,1001,45,92,B,4337,414,,970,0,8,0,0,0,"1-3,2-2.89",1-4722,0,4337,15,0,4722,2.5,,,,,970
1001093,1001,45,93,B,4444,418,,980,0,8,0,0,0,"1-3,2-2.90",1-4838,0,4444,15,0,4838,2.5,,,,,980
1001094,1001,45,94,B,4552,422,,990,0,8,0,0,0,"1-3,2-2.91",1-4956,0,4552,15,0,4956,2.5,,,,,990
1001095,1001,45,95,B,4660,426,,1000,0,8,0,0,0,"1-3,2-2.92",1-5074,0,4660,15,0,5074,2.5,,,,,1000
1001096,1001,45,96,B,4769,430,,1010,0,8,0,0,0,"1-3,2-2.93",1-5193,0,4769,15,0,5193,2.5,,,,,1010
1001097,1001,45,97,B,4878,434,,1020,0,8,0,0,0,"1-3,2-2.94",1-5311,0,4878,15,0,5311,2.5,,,,,1020
1001098,1001,45,98,B,4988,438,,1030,0,8,0,0,0,"1-3,2-2.95",1-5431,0,4988,15,0,5431,2.5,,,,,1030
1001099,1001,45,99,B,5098,442,,1040,0,8,0,0,0,"1-3,2-2.96",1-5551,0,5098,15,0,5551,2.5,,,,,1040
1001100,1001,45,100,B,5209,446,,1050,0,8,0,0,0,"1-3,2-2.97",1-7734,0,5209,15,0,7734,2.5,,,,,1050
1001101,1001,45,101,B,5375,450,,1060,0,8,0,0,0,"1-1,2-2",1-7981,0,5375,15,0,7981,2.5,,,,,1060
1001102,1001,45,102,B,5541,454,,1070,0,8,0,0,0,"1-1,2-2",1-8227,0,5541,15,0,8227,2.5,,,,,1070
1001103,1001,45,103,B,5708,458,,1080,0,8,0,0,0,"1-1,2-3",1-8475,0,5708,15,0,8475,2.5,,,,,1080
1001104,1001,45,104,B,5875,462,,1090,0,8,0,0,0,"1-1,2-4",1-8724,0,5875,15,0,8724,2.5,,,,,1090
1001105,1001,45,105,B,6043,466,,1100,0,8,0,0,0,"1-1,2-5",1-8973,0,6043,15,0,8973,2.5,,,,,1100
1001106,1001,45,106,B,6211,470,,1110,0,8,0,0,0,"1-1,2-6",1-9222,0,6211,15,0,9222,2.5,,,,,1110
1001107,1001,45,107,B,6380,474,,1120,0,8,0,0,0,"1-1,2-7",1-9474,0,6380,15,0,9474,2.5,,,,,1120
1001108,1001,45,108,B,6549,478,,1130,0,8,0,0,0,"1-1,2-8",1-9724,0,6549,15,0,9724,2.5,,,,,1130
1001109,1001,45,109,B,6719,482,,1140,0,8,0,0,0,"1-1,2-9",1-9976,0,6719,15,0,9976,2.5,,,,,1140
1001110,1001,45,110,B,6889,486,,1150,0,8,0,0,0,"1-1,2-10",1-10230,0,6889,15,0,10230,2.5,,,,,1150
1001111,1001,45,111,B,7060,490,,1160,0,8,0,0,0,"1-1,2-11",1-10483,0,7060,15,0,10483,2.5,,,,,1160
1001112,1001,45,112,B,7231,494,,1170,0,8,0,0,0,"1-1,2-12",1-10737,0,7231,15,0,10737,2.5,,,,,1170
1001113,1001,45,113,B,7403,498,,1180,0,8,0,0,0,"1-1,2-13",1-10992,0,7403,15,0,10992,2.5,,,,,1180
1001114,1001,45,114,B,7575,502,,1190,0,8,0,0,0,"1-1,2-14",1-11248,0,7575,15,0,11248,2.5,,,,,1190
1001115,1001,45,115,B,7748,506,,1200,0,8,0,0,0,"1-1,2-15",1-11505,0,7748,15,0,11505,2.5,,,,,1200
1001116,1001,45,116,B,7921,510,,1210,0,8,0,0,0,"1-1,2-16",1-11761,0,7921,15,0,11761,2.5,,,,,1210
1001117,1001,45,117,B,8095,514,,1220,0,8,0,0,0,"1-1,2-17",1-12021,0,8095,15,0,12021,2.5,,,,,1220
1001118,1001,45,118,B,8269,518,,1230,0,8,0,0,0,"1-1,2-18",1-12279,0,8269,15,0,12279,2.5,,,,,1230
1001119,1001,45,119,B,8444,522,,1240,0,8,0,0,0,"1-1,2-19",1-12538,0,8444,15,0,12538,2.5,,,,,1240
1001120,1001,45,120,B,8619,526,,1250,0,8,0,0,0,"1-1,2-20",1-12798,0,8619,15,0,12798,2.5,,,,,1250
1001121,1001,45,121,B,8795,530,,1260,0,8,0,0,0,"1-1,2-21",1-13060,0,8795,15,0,13060,2.5,,,,,1260
1001122,1001,45,122,B,8971,534,,1270,0,8,0,0,0,"1-1,2-22",1-13321,0,8971,15,0,13321,2.5,,,,,1270
1001123,1001,45,123,B,9148,538,,1280,0,8,0,0,0,"1-1,2-23",1-13584,0,9148,15,0,13584,2.5,,,,,1280
1001124,1001,45,124,B,9325,542,,1290,0,8,0,0,0,"1-1,2-24",1-13846,0,9325,15,0,13846,2.5,,,,,1290
1001125,1001,45,125,B,9503,546,,1300,0,8,0,0,0,"1-1,2-25",1-14110,0,9503,15,0,14110,2.5,,,,,1300
1001126,1001,45,126,B,9770,550,,1310,0,8,0,0,0,"1-1,2-26",1-14508,0,9770,15,0,14508,2.5,,,,,1310
1001127,1001,45,127,B,10037,554,,1320,0,8,0,0,0,"1-1,2-27",1-14904,0,10037,15,0,14904,2.5,,,,,1320
1001128,1001,45,128,B,10305,558,,1330,0,8,0,0,0,"1-1,2-28",1-15301,0,10305,15,0,15301,2.5,,,,,1330
1001129,1001,45,129,B,10573,562,,1340,0,8,0,0,0,"1-1,2-29",1-15700,0,10573,15,0,15700,2.5,,,,,1340
1001130,1001,45,130,B,10842,566,,1350,0,8,0,0,0,"1-1,2-30",1-16099,0,10842,15,0,16099,2.5,,,,,1350
1001131,1001,45,131,B,11111,570,,1360,0,8,0,0,0,"1-1,2-31",1-16498,0,11111,15,0,16498,2.5,,,,,1360
1001132,1001,45,132,B,11381,574,,1370,0,8,0,0,0,"1-1,2-32",1-16900,0,11381,15,0,16900,2.5,,,,,1370
1001133,1001,45,133,B,11651,578,,1380,0,8,0,0,0,"1-1,2-33",1-17301,0,11651,15,0,17301,2.5,,,,,1380
1001134,1001,45,134,B,11922,582,,1390,0,8,0,0,0,"1-1,2-34",1-17703,0,11922,15,0,17703,2.5,,,,,1390
1001135,1001,45,135,B,12193,586,,1400,0,8,0,0,0,"1-1,2-35",1-18106,0,12193,15,0,18106,2.5,,,,,1400
1001136,1001,45,136,B,12465,590,,1410,0,8,0,0,0,"1-1,2-36",1-18510,0,12465,15,0,18510,2.5,,,,,1410
1001137,1001,45,137,B,12737,594,,1420,0,8,0,0,0,"1-1,2-37",1-18913,0,12737,15,0,18913,2.5,,,,,1420
1001138,1001,45,138,B,13010,598,,1430,0,8,0,0,0,"1-1,2-38",1-19318,0,13010,15,0,19318,2.5,,,,,1430
1001139,1001,45,139,B,13283,602,,1440,0,8,0,0,0,"1-1,2-39",1-19725,0,13283,15,0,19725,2.5,,,,,1440
1001140,1001,45,140,B,13557,606,,1450,0,8,0,0,0,"1-1,2-40",1-20131,0,13557,15,0,20131,2.5,,,,,1450
1001141,1001,45,141,B,13831,610,,1460,0,8,0,0,0,"1-1,2-41",1-20538,0,13831,15,0,20538,2.5,,,,,1460
1001142,1001,45,142,B,14106,614,,1470,0,8,0,0,0,"1-1,2-42",1-20946,0,14106,15,0,20946,2.5,,,,,1470
1001143,1001,45,143,B,14381,618,,1480,0,8,0,0,0,"1-1,2-43",1-21355,0,14381,15,0,21355,2.5,,,,,1480
1001144,1001,45,144,B,14657,622,,1490,0,8,0,0,0,"1-1,2-44",1-21765,0,14657,15,0,21765,2.5,,,,,1490
1001145,1001,45,145,B,14933,626,,1500,0,8,0,0,0,"1-1,2-45",1-22174,0,14933,15,0,22174,2.5,,,,,1500
1001146,1001,45,146,B,15210,630,,1510,0,8,0,0,0,"1-1,2-46",1-22585,0,15210,15,0,22585,2.5,,,,,1510
1001147,1001,45,147,B,15487,634,,1520,0,8,0,0,0,"1-1,2-47",1-22998,0,15487,15,0,22998,2.5,,,,,1520
1001148,1001,45,148,B,15765,638,,1530,0,8,0,0,0,"1-1,2-48",1-23410,0,15765,15,0,23410,2.5,,,,,1530
1001149,1001,45,149,B,16043,642,,1540,0,8,0,0,0,"1-1,2-49",1-23823,0,16043,15,0,23823,2.5,,,,,1540
1001150,1001,45,150,B,16322,646,,1550,0,8,0,0,0,"1-1,2-50",1-24237,0,16322,15,0,24237,2.5,,,,,1550
1001151,1001,45,151,B,16740,650,,1560,0,8,0,0,0,"1-1,2-51",1-24858,0,16740,15,0,24858,2.5,,,,,1560
1001152,1001,45,152,B,17158,654,,1570,0,8,0,0,0,"1-1,2-52",1-25479,0,17158,15,0,25479,2.5,,,,,1570
1001153,1001,45,153,B,17577,658,,1580,0,8,0,0,0,"1-1,2-53",1-26101,0,17577,15,0,26101,2.5,,,,,1580
1001154,1001,45,154,B,17996,662,,1590,0,8,0,0,0,"1-1,2-54",1-26724,0,17996,15,0,26724,2.5,,,,,1590
1001155,1001,45,155,B,18416,666,,1600,0,8,0,0,0,"1-1,2-55",1-27346,0,18416,15,0,27346,2.5,,,,,1600
1001156,1001,45,156,B,18836,670,,1610,0,8,0,0,0,"1-1,2-56",1-27970,0,18836,15,0,27970,2.5,,,,,1610
1001157,1001,45,157,B,19257,674,,1620,0,8,0,0,0,"1-1,2-57",1-28596,0,19257,15,0,28596,2.5,,,,,1620
1001158,1001,45,158,B,19678,678,,1630,0,8,0,0,0,"1-1,2-58",1-29221,0,19678,15,0,29221,2.5,,,,,1630
1001159,1001,45,159,B,20100,682,,1640,0,8,0,0,0,"1-1,2-59",1-29848,0,20100,15,0,29848,2.5,,,,,1640
1001160,1001,45,160,B,20522,686,,1650,0,8,0,0,0,"1-1,2-60",1-30474,0,20522,15,0,30474,2.5,,,,,1650
1001161,1001,45,161,B,20945,690,,1660,0,8,0,0,0,"1-1,2-61",1-31102,0,20945,15,0,31102,2.5,,,,,1660
1001162,1001,45,162,B,21368,694,,1670,0,8,0,0,0,"1-1,2-62",1-31731,0,21368,15,0,31731,2.5,,,,,1670
1001163,1001,45,163,B,21792,698,,1680,0,8,0,0,0,"1-1,2-63",1-32361,0,21792,15,0,32361,2.5,,,,,1680
1001164,1001,45,164,B,22216,702,,1690,0,8,0,0,0,"1-1,2-64",1-32989,0,22216,15,0,32989,2.5,,,,,1690
1001165,1001,45,165,B,22641,706,,1700,0,8,0,0,0,"1-1,2-65",1-33621,0,22641,15,0,33621,2.5,,,,,1700
1001166,1001,45,166,B,23066,710,,1710,0,8,0,0,0,"1-1,2-66",1-34252,0,23066,15,0,34252,2.5,,,,,1710
1001167,1001,45,167,B,23492,714,,1720,0,8,0,0,0,"1-1,2-67",1-34885,0,23492,15,0,34885,2.5,,,,,1720
1001168,1001,45,168,B,23918,718,,1730,0,8,0,0,0,"1-1,2-68",1-35517,0,23918,15,0,35517,2.5,,,,,1730
1001169,1001,45,169,B,24345,722,,1740,0,8,0,0,0,"1-1,2-69",1-36151,0,24345,15,0,36151,2.5,,,,,1740
1001170,1001,45,170,B,24772,726,,1750,0,8,0,0,0,"1-1,2-70",1-36786,0,24772,15,0,36786,2.5,,,,,1750
1001171,1001,45,171,B,25200,730,,1760,0,8,0,0,0,"1-1,2-71",1-37422,0,25200,15,0,37422,2.5,,,,,1760
1001172,1001,45,172,B,25628,734,,1770,0,8,0,0,0,"1-1,2-72",1-38056,0,25628,15,0,38056,2.5,,,,,1770
1001173,1001,45,173,B,26057,738,,1780,0,8,0,0,0,"1-1,2-73",1-38694,0,26057,15,0,38694,2.5,,,,,1780
1001174,1001,45,174,B,26486,742,,1790,0,8,0,0,0,"1-1,2-74",1-39331,0,26486,15,0,39331,2.5,,,,,1790
1001175,1001,45,175,B,26916,746,,1800,0,8,0,0,0,"1-1,2-75",1-39969,0,26916,15,0,39969,2.5,,,,,1800
1001176,1001,45,176,B,27561,750,,1810,0,8,0,0,0,"1-1,2-76",1-40927,0,27561,15,0,40927,2.5,,,,,1810
1001177,1001,45,177,B,28206,754,,1820,0,8,0,0,0,"1-1,2-77",1-41884,0,28206,15,0,41884,2.5,,,,,1820
1001178,1001,45,178,B,28852,758,,1830,0,8,0,0,0,"1-1,2-78",1-42844,0,28852,15,0,42844,2.5,,,,,1830
1001179,1001,45,179,B,29498,762,,1840,0,8,0,0,0,"1-1,2-79",1-43804,0,29498,15,0,43804,2.5,,,,,1840
1001180,1001,45,180,B,30145,766,,1850,0,8,0,0,0,"1-1,2-80",1-44764,0,30145,15,0,44764,2.5,,,,,1850
1001181,1001,45,181,B,30792,770,,1860,0,8,0,0,0,"1-1,2-81",1-45726,0,30792,15,0,45726,2.5,,,,,1860
1001182,1001,45,182,B,31440,774,,1870,0,8,0,0,0,"1-1,2-82",1-46687,0,31440,15,0,46687,2.5,,,,,1870
1001183,1001,45,183,B,32088,778,,1880,0,8,0,0,0,"1-1,2-83",1-47650,0,32088,15,0,47650,2.5,,,,,1880
1001184,1001,45,184,B,32737,782,,1890,0,8,0,0,0,"1-1,2-84",1-48613,0,32737,15,0,48613,2.5,,,,,1890
1001185,1001,45,185,B,33386,786,,1900,0,8,0,0,0,"1-1,2-85",1-49578,0,33386,15,0,49578,2.5,,,,,1900
1001186,1001,45,186,B,34036,790,,1910,0,8,0,0,0,"1-1,2-86",1-50542,0,34036,15,0,50542,2.5,,,,,1910
1001187,1001,45,187,B,34686,794,,1920,0,8,0,0,0,"1-1,2-87",1-51508,0,34686,15,0,51508,2.5,,,,,1920
1001188,1001,45,188,B,35337,798,,1930,0,8,0,0,0,"1-1,2-88",1-52474,0,35337,15,0,52474,2.5,,,,,1930
1001189,1001,45,189,B,35988,802,,1940,0,8,0,0,0,"1-1,2-89",1-53442,0,35988,15,0,53442,2.5,,,,,1940
1001190,1001,45,190,B,36640,806,,1950,0,8,0,0,0,"1-1,2-90",1-54409,0,36640,15,0,54409,2.5,,,,,1950
1001191,1001,45,191,B,37292,810,,1960,0,8,0,0,0,"1-1,2-91",1-55378,0,37292,15,0,55378,2.5,,,,,1960
1001192,1001,45,192,B,37945,814,,1970,0,8,0,0,0,"1-1,2-92",1-56347,0,37945,15,0,56347,2.5,,,,,1970
1001193,1001,45,193,B,38598,818,,1980,0,8,0,0,0,"1-1,2-93",1-57318,0,38598,15,0,57318,2.5,,,,,1980
1001194,1001,45,194,B,39252,822,,1990,0,8,0,0,0,"1-1,2-94",1-58288,0,39252,15,0,58288,2.5,,,,,1990
1001195,1001,45,195,B,39906,826,,2000,0,8,0,0,0,"1-1,2-95",1-59259,0,39906,15,0,59259,2.5,,,,,2000
1001196,1001,45,196,B,40561,830,,2010,0,8,0,0,0,"1-1,2-96",1-60232,0,40561,15,0,60232,2.5,,,,,2010
1001197,1001,45,197,B,41216,834,,2020,0,8,0,0,0,"1-1,2-97",1-61204,0,41216,15,0,61204,2.5,,,,,2020
1001198,1001,45,198,B,41872,838,,2030,0,8,0,0,0,"1-1,2-98",1-62179,0,41872,15,0,62179,2.5,,,,,2030
1001199,1001,45,199,B,42528,842,,2040,0,8,0,0,0,"1-1,2-99",1-63153,0,42528,15,0,63153,2.5,,,,,2040
1001200,1001,45,200,B,43185,846,,2050,0,8,0,0,0,"1-1,2-100",1-85506,0,43185,15,0,85506,2.5,,,,,2050
